ABS,760-01-01,****,****,1***,HDC/TBC Disabled,HDC Switch
ABS,,,,2***,HDC Disabled/TBC Enabled,
ABS,,,,3***,HDC/TBC Enabled,
,,,,,,
APIM,7D0-01-01 ,****,,,Remove Sirrus from Audio Sources,"decrements your value where the asterisk is by 2; if you have an ""A"" make it ""8"", if you have ""2"" make it ""0"""
APIM,,****,***1,,Reverse Camera Guideline Disabled,2016MY only
APIM,,,***3,,Reverse Camera Guideline Enabled,"2016MY only, May require a master reset of MyFordTouch to fully enable"
APIM,,,,E0**,No Seat Temp Control,
APIM,,,,E2**,Heated/Cooled,
APIM,,,,E4**,Heated Steering Wheel,
APIM,,,,E6**,Heated/Cooled - Heated Steering Wheel,
APIM,7D0-02-01 ,*5**,****,****,Factory Setting (Disable data entry while moving),"Confirmed, note: Travel Link is also enabled in NAV with this setting."
APIM,,*7**,****,****,NAV Override (Enable data entry while moving),"Confirmed, Warning: Travel Link is also disabled from NAV with this setting."
APIM,7D0-04-01,****,,,Removes CD from Audio Sources,"0=CD doesn't show under audio sources, 1=CD shows under sources"
,,,,,,
BCM,726-08-01 ,***0,**,,Dark Car Off,
BCM,,***1,**,,Dark Car On,
BCM,726-11-01 ,*0**,****,**,DRL Disabled,
BCM,,*1**,****,**,DRL Enabled 50% Low Beam,
BCM,,*2**,****,**,DRL Enabled Fog Lights,
BCM,,*3**,****,**,DRL Enabled Turn Signal,
BCM,,***1,****,,Bambi Mode (High Beams / Fogs) Disabled,
BCM,,***2,****,,Bambi Mode (High Beams / Fogs) Enabled,
BCM,726-13-01 ,*1*1,****,**,Front Lamp Outage On (LED-Hyperflash),
BCM,,*0*0,****,**,Front Lamp Outage Off (LED-Hyperflash),
BCM,726-14-01 ,*1*1,****,**,Rear Lamp Outage On (LED HyperFlash),
BCM,,*0*0,****,**,Rear Lamp Outage Off (LED HyperFlash),
BCM,726-19-01 ,*0**,,,Remote Start Disabled,
BCM,,*1**,,,Remote Start Enabled,
BCM,726-22-01 ,*0**,****,****,TPMS Disabled,
BCM,,*1**,ABCD,****,"TPMS Enabled  AB=Front Tire pressure converted to hex, CD=Rear Tire pressure converted to hex",
BCM,726-45-01 ,****,ABCD,,Tire Conversion (ABCD),
BCM,726-49-02,****,****,*1*1,5 min (Remote Start Duration),
BCM,,****,****,*2*2,10 min (Remote Start Duration),
BCM,,****,****,*3*3,15 min (Remote Start Duration),
,,,,,,
IPC,720-01-01,****,9***,****,DPF % Screen Enabled,
IPC,,****,1***,****,DPF % Screen Disabled,
IPC,,****,****,E***,Force Regen Request (Disabled),
IPC,,****,****,F***,Force Regen Request (Enabled),
IPC,,****,****,6***,Force Regen Request (Disabled) / Compass (Enable),
IPC,,****,****,7***,Force Regen Request / Compass (Enabled),
IPC,720-01-02,**C*,****,****,"Temperature, Productivity Screen (Disabled)",
IPC,,**E*,****,****,"Temperature, Productivity Screen (Enabled)",
IPC,,***B,****,****,Remote Start Menu (Enabled),
IPC,,***1,****,****,Remote Start Menu (Disabled),
IPC,,***9,****,****,Remote start menu (Disabled),
IPC,,****,87B0,****,26 Gallon Fuel Tank,
IPC,,****,8846,****,28 Gallon Fuel Tank,
IPC,,****,8A58,****,35 Gallon Fuel Tank,
IPC,,****,8B16,****,37.5 Gallon Fuel Tank,
IPC,,****,8BD4,****,40 Gallon Fuel Tank,
IPC,,****,8EC8,****,50 Gallon Fuel Tank,
IPC,,****,9338,****,65 Gallon Fuel Tank,
IPC,,****,*ABC,****,"ABC hex value convert to decimal, divide by 20 and this is tank size in Liters",
,,,,,,
SCCM,724-01-01 ,****,*x**,**,Turn Signals (Flashes on bump) Full Click on until canceled,Thanks to Airborne Ape & LivnItUp
,,,,,7 = Three flashes,
,,,,,9 = Four flashes,Thanks to Just Strokin for troubleshooting the single flash on click
,,,,,B = Five flashes,
,,,,,D = Six flashes,
,,,,,F = Seven flashes,When you are connected to a trailer the truck will add (2) flashes
